RC-DFA VAE — cProfile (first 3 batches of epoch 1)
Platform : Windows-10-10.0.26200-SP0
Python   : 3.10.6
PyTorch  : 2.12.0.dev20260407+cu128
Device   : CPU (forced)
Batch sz : 64

--- Sorted by cumulative time ---
         11367 function calls (11100 primitive calls) in 10.485 seconds

   Ordered by: cumulative time
   List reduced from 207 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.391    0.130 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:537(decode)
        3    0.001    0.000    0.001    0.000 {built-in method torch._foreach_mul_}
      345    0.001    0.000    0.001    0.000 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\module.py:1954(__getattr__)
       66    0.000    0.000    0.000    0.000 {built-in method torch._C._get_tracing_state}
       72    0.000    0.000    0.001    0.000 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\module.py:1971(__setattr__)
 1041/897    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       48    0.000    0.000    0.000    0.000 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\container.py:124(_get_item_by_idx)
      174    0.000    0.000    0.001    0.000 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\autograd\grad_mode.py:184(__init__)
       21    0.000    0.000    0.072    0.003 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\batchnorm.py:176(forward)
       12    0.000    0.000    0.006    0.000 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\_dynamo\eval_frame.py:1254(_fn)
       39    0.000    0.000    0.000    0.000 {method 'detach' of 'torch._C.TensorBase' objects}



--- Per-epoch wall times (all epochs, seconds) ---
  epoch    1: 89.41s
  epoch    2: 84.99s
  epoch    3: 85.12s

Median epoch time : 85.12s
Mean   epoch time : 86.51s
